title,rating,date,body,helpfulVotes,review_type,reviewText_clean,sentiment
"5.0 out of 5 stars







  
  
    Sensitive Screen",5.0,"Reviewed in the United States on May 16, 2022","Bought this for school. Touch screen is a little sensitive, but other than that, it's great",0,all,"Bought this for school. Touch screen is a little sensitive, but other than that, it's great",1
"5.0 out of 5 stars







  
  
    amazing",5.0,"Reviewed in the United States on March 19, 2021",This is my first time owning a laptop and I am amazed. It's very light and thin. I am truly happy with this what I bought.,6,all,This is my first time owning a laptop and I am amazed. It's very light and thin. I am truly happy with this what I bought.,1
"5.0 out of 5 stars







  
  
    This laptop does not have numbers on the right side",5.0,"Reviewed in the United States on June 2, 2022",The only setback I found is no numbers on the right side of the laptop,3,all,The only setback I found is no numbers on the right side of the laptop,1
"5.0 out of 5 stars







  
  
    Great laptop for the price!",5.0,"Reviewed in the United States on March 13, 2022",Was a gift for our daughter. She likes the touchscreen and is exactly what she needed for online classes.,0,all,Was a gift for our daughter. She likes the touchscreen and is exactly what she needed for online classes.,1
"5.0 out of 5 stars







  
  
    This was a awesome buy",5.0,"Reviewed in the United States on May 28, 2022",I purchased this for my son and he loved the lightweight frame for school,1,all,I purchased this for my son and he loved the lightweight frame for school,1
"1.0 out of 5 stars







  
  
    Waste of money",1.0,"Reviewed in the United States on May 20, 2023","I’ve had this laptop for 4 months. Already I’ve had to take it into the shop twice. The first time, it wouldn’t turn on. The second, it wouldn’t even register that it could connect to Wi-Fi. I have to use a laptop everyday for my job. I have a good bag that’s ment for laptops. Don’t waste you’re money on this because it’s not worth it at all.",1,all,"I’ve had this laptop for 4 months. Already I’ve had to take it into the shop twice. The first time, it wouldn’t turn on. The second, it wouldn’t even register that it could connect to Wi-Fi. I have to use a laptop everyday for my job. I have a good bag that’s ment for laptops. Don’t waste you’re money on this because it’s not worth it at all.",0
"5.0 out of 5 stars







  
  
    Worth every penny",5.0,"Reviewed in the United States on May 30, 2022",Just what I wanted. Not heavy. Good battery. And love the touchscreen.,1,all,Just what I wanted. Not heavy. Good battery. And love the touchscreen.,1
"1.0 out of 5 stars







  
  
    False Advertisment.",1.0,"Reviewed in the United States on February 2, 2022","The features describe this as having the Windows10 OS installed. But mine has windows 11 right out of the box, and i am unable to roll it back to 10.Windows 11 is an atrocious, dangerous pile of buggy garbage, and it has destroyed my previous laptop that this is replacing. I am very disgusted by this, as this laptop has already crashed within 30 minutes of use out of box.Plus. I can not get through to amazon customer service, only that useless, meaningless AI.Be very careful with this purchase.",2,all,"The features describe this as having the Windows10 OS installed. But mine has windows 11 right out of the box, and i am unable to roll it back to 10.Windows 11 is an atrocious, dangerous pile of buggy garbage, and it has destroyed my previous laptop that this is replacing. I am very disgusted by this, as this laptop has already crashed within 30 minutes of use out of box.Plus. I can not get through to amazon customer service, only that useless, meaningless AI.Be very careful with this purchase.",0
"1.0 out of 5 stars







  
  
    Slow",1.0,"Reviewed in the United States on October 2, 2023","I am genuinely amazed this computer has such a high rating. This computer is incredibly slow, even after I cleaned it and deleted all the software I installed. It was slow as soon as I turned it on, and nothing I did could fix it. Absolutely terrible",1,all,"I am genuinely amazed this computer has such a high rating. This computer is incredibly slow, even after I cleaned it and deleted all the software I installed. It was slow as soon as I turned it on, and nothing I did could fix it. Absolutely terrible",0
"2.0 out of 5 stars







  
  
    Look for another laptop",2.0,"Reviewed in the United States on February 16, 2021",Product is horrible. Screen display is not very clear. It runs very slow even if I’m connected to my high speed internet. When scrolling to the bottom of the page and having to click next or continue you have to click the touch pad numerous times. I have had other hp laptops and never had this problem.,7,all,Product is horrible. Screen display is not very clear. It runs very slow even if I’m connected to my high speed internet. When scrolling to the bottom of the page and having to click next or continue you have to click the touch pad numerous times. I have had other hp laptops and never had this problem.,0
"5.0 out of 5 stars







  
  
    Great value for web browsing, etc.",5.0,"Reviewed in the United States on February 4, 2022","Perfect for email, e-shopping, Google, etc. Light weight, good battery life, nice touch screen",2,all,"Perfect for email, e-shopping, Google, etc. Light weight, good battery life, nice touch screen",1
"5.0 out of 5 stars







  
  
    Very satisfied",5.0,"Reviewed in the United States on March 25, 2022",I was very pleased with the Laptop.  It was everything that was advertised.,0,all,I was very pleased with the Laptop. It was everything that was advertised.,1
"1.0 out of 5 stars







  
  
    NOT TOUCHSCREEN AS I ORDERED STOPPED POWERING ON AFTER 2 MONTHS",1.0,"Reviewed in the United States on June 11, 2021",I brought touch screen and didn't get a touchscreen laptop when I checked and since I realized that the screen stopped working a few days ago and I'm pretty sure I had this less than 4 months. I would give no stars I'd I could and I hope the seller sees this because they are selling lies ... how the box says touchscreen but I checked and it's not and checked how to check and it definitely was not after checking... It just randomly stopped working Monday. I am so disappointed with this.,6,all,I brought touch screen and didn't get a touchscreen laptop when I checked and since I realized that the screen stopped working a few days ago and I'm pretty sure I had this less than 4 months. I would give no stars I'd I could and I hope the seller sees this because they are selling lies ... how the box says touchscreen but I checked and it's not and checked how to check and it definitely was not after checking... It just randomly stopped working Monday. I am so disappointed with this.,0
"5.0 out of 5 stars







  
  
    Pack it and go!!",5.0,"Reviewed in the United States on February 19, 2021","Real pleased for what I need it for, just everyday use. Easy to take on airplane and lightweight. Love the color!",7,all,"Real pleased for what I need it for, just everyday use. Easy to take on airplane and lightweight. Love the color!",1
"5.0 out of 5 stars







  
  
    Great Value. Just buy it",5.0,"Reviewed in the United States on October 30, 2021",Great value. I bought it for my 12 y/o. There are no issues at this price.,0,all,Great value. I bought it for my 12 y/o. There are no issues at this price.,1
"1.0 out of 5 stars







  
  
    Felt like I was back in 2006",1.0,"Reviewed in the United States on February 12, 2023",This is probably the slowest laptop I’ve used in a year … after 2 hours of testing I just nopped out and packed it back.P.S you can’t install any programs on it apart from Microsoft Window apps - isn’t that great now? lolPlease don’t buy this dinosaur packed into a shiny new case,1,all,This is probably the slowest laptop I’ve used in a year … after 2 hours of testing I just nopped out and packed it back.P.S you can’t install any programs on it apart from Microsoft Window apps - isn’t that great now? lolPlease don’t buy this dinosaur packed into a shiny new case,0
"5.0 out of 5 stars







  
  
    Love it!",5.0,"Reviewed in the United States on September 18, 2021","I’m satisfied with this laptop. It’s the perfect size, lightweight, and long battery life!",0,all,"I’m satisfied with this laptop. It’s the perfect size, lightweight, and long battery life!",1
"5.0 out of 5 stars







  
  
    Love it",5.0,"Reviewed in the United States on July 11, 2022",Very nice touch screen,1,all,Very nice touch screen,1
"5.0 out of 5 stars







  
  
    Great for the price.",5.0,"Reviewed in the United States on April 25, 2022","Love the color, light weight, works well,",0,all,"Love the color, light weight, works well,",1
"1.0 out of 5 stars







  
  
    NOT 2.6 Ghz!!! Really 1.6Ghz.",1.0,"Reviewed in the United States on January 28, 2022","It's OK for what I want, but it's advertised as 2.6 Ghz and is really 1.6. Also, I've seen reviews mentioning backlit keyboard, it isn't. Don't really care about that. Sometimes when people post in reviews, they're not talking about the same product. I applied for a return, but might keep it as all I use it for is recording music via Audacity.",1,all,"It's OK for what I want, but it's advertised as 2.6 Ghz and is really 1.6. Also, I've seen reviews mentioning backlit keyboard, it isn't. Don't really care about that. Sometimes when people post in reviews, they're not talking about the same product. I applied for a return, but might keep it as all I use it for is recording music via Audacity.",0
"2.0 out of 5 stars







  
  
    windows 11, not 10",2.0,"Reviewed in the United States on February 17, 2022","it has windows 11, not windows 10 as advertised.S-mode is terrible, and feels like a ploy to avoid future problems more than an actual protectionthe touch screen is nice (so far, I do hope it lasts)",1,all,"it has windows 11, not windows 10 as advertised.S-mode is terrible, and feels like a ploy to avoid future problems more than an actual protectionthe touch screen is nice (so far, I do hope it lasts)",0
"1.0 out of 5 stars







  
  
    Do Not Worth It",1.0,"Reviewed in the United States on November 11, 2021","Just give me a favor? Do not buy this one. The size is good, also good weights and great color... but very slow system.  do not kwon what is going on with this one, but this was my first disappointment with HP. Took forever to set up this computer , I mean,  hours, not kidding. I'm really ashamed of this product... very slow...",1,all,"Just give me a favor? Do not buy this one. The size is good, also good weights and great color... but very slow system. do not kwon what is going on with this one, but this was my first disappointment with HP. Took forever to set up this computer , I mean, hours, not kidding. I'm really ashamed of this product... very slow...",0
"5.0 out of 5 stars







  
  
    Excellent for school, work, social media",5.0,"Reviewed in the United States on June 13, 2021",I love the option of the touch screen and voice command typing for projects.,0,all,I love the option of the touch screen and voice command typing for projects.,1
"5.0 out of 5 stars







  
  
    Great for editing videos and good battery life",5.0,"Reviewed in the United States on May 27, 2021",Works great i use it to edit videos for YouTube and it's great,0,all,Works great i use it to edit videos for YouTube and it's great,1
"5.0 out of 5 stars







  
  
    Works great!",5.0,"Reviewed in the United States on May 11, 2022",No complaints. Works great.,0,all,No complaints. Works great.,1
"5.0 out of 5 stars







  
  
    Great price",5.0,"Reviewed in the United States on May 23, 2021","My husband loves it, and price was great 👍",0,all,"My husband loves it, and price was great 👍",1
"5.0 out of 5 stars







  
  
    good laptop",5.0,"Reviewed in the United States on November 13, 2021",every thing works great good lap top,0,all,every thing works great good lap top,1
"5.0 out of 5 stars







  
  
    Delivered on time, laptop was slim and light weight.",5.0,"Reviewed in the United States on August 10, 2021",Battery lasts so long was beyond surprised,1,all,Battery lasts so long was beyond surprised,1
"5.0 out of 5 stars







  
  
    Customer satisfaction",5.0,"Reviewed in the United States on May 17, 2022",Customer satisfaction,1,all,Customer satisfaction,1
"5.0 out of 5 stars







  
  
    good price good product",5.0,"Reviewed in the United States on January 5, 2022",works great. great battery life,1,all,works great. great battery life,1
"5.0 out of 5 stars







  
  
    The important thing is the laptop talk and setting up",5.0,"Reviewed in the United States on October 30, 2021",I liked the all things,4,all,I liked the all things,1
"1.0 out of 5 stars







  
  
    Horrible Purchase",1.0,"Reviewed in the United States on November 5, 2022",I added my antivirus subscription as I do to all my electronics and this the ONLY one that gave me issues and shut the computer completely down and will not allow me to use it. This computer is essentially trash. Don’t waste your time or money.,0,all,I added my antivirus subscription as I do to all my electronics and this the ONLY one that gave me issues and shut the computer completely down and will not allow me to use it. This computer is essentially trash. Don’t waste your time or money.,0
"5.0 out of 5 stars







  
  
    Great buy",5.0,"Reviewed in the United States on February 1, 2021",I love my laptop !!,6,all,I love my laptop !!,1
"1.0 out of 5 stars







  
  
    HTURIEIIURFTJERKEDKL",1.0,"Reviewed in the United States on February 23, 2024",After two years the laptop quit working apile of JUNK. IWILL NOT BUY ANOTHER HP.........,0,all,After two years the laptop quit working apile of JUNK. IWILL NOT BUY ANOTHER HP.........,0
"5.0 out of 5 stars







  
  
    Wonderful",5.0,"Reviewed in the United States on April 10, 2021",Easy when using multiple screens,0,all,Easy when using multiple screens,1
"2.0 out of 5 stars







  
  
    Ok...",2.0,"Reviewed in the United States on January 9, 2022","It's a laptop, that's literally it, it's good for people who say they want a laptop but will rarely use or need it.",0,all,"It's a laptop, that's literally it, it's good for people who say they want a laptop but will rarely use or need it.",0
"1.0 out of 5 stars







  
  
    Avoid at all costs",1.0,"Reviewed in the United States on October 28, 2023",Worst computer I've ever owned. Slow operating system that crashes constantly. Graphics and display suck. It randomly shuts down. Makes a great coffee mug holder.,0,all,Worst computer I've ever owned. Slow operating system that crashes constantly. Graphics and display suck. It randomly shuts down. Makes a great coffee mug holder.,0
"5.0 out of 5 stars







  
  
    Works great",5.0,"Reviewed in the United States on March 17, 2021",Just as described. Works greats!,0,all,Just as described. Works greats!,1
"1.0 out of 5 stars







  
  
    HP send me broken laptop and they didnt change it",1.0,"Reviewed in the United States on November 3, 2023",HP send me broken laptop and they didnt change it. I talked them like 10 days and they said there’s nothing we can do,0,all,HP send me broken laptop and they didnt change it. I talked them like 10 days and they said there’s nothing we can do,0
"5.0 out of 5 stars







  
  
    Great buy",5.0,"Reviewed in the United States on March 6, 2021","Great product, love the color!",2,all,"Great product, love the color!",1
"1.0 out of 5 stars







  
  
    Update: Broke down after 1 year",1.0,"Reviewed in the United States on November 24, 2021","Update: I’ve been so dissatisfied with this laptop. I never use the touchscreen since it doesn’t react well. It’s always been slow, and all I do is streaming & internet browsing. And for nearly $300 it should last more than 1 year. With the price of fixing it I might as well just buy something better that I know will work.I’ve been happy with previous Amazon laptop purchases, but this one surprised me with how slow it was. I always look at the specs and assumed it’d be the same as the Lenovo I bought 3 years ago for the same price. This one is plastic instead of metallic, so it feels super cheap and I’m afraid it’ll break much more easily. I wanted to return it only to find out they charge a huge restocking fee, so guess I’m stuck with it till next time. Once I did all the updates, it did help a little, so definitely do those. The touchscreen felt strange, but it works so it’s fine. I think it’s just made from a cheaper material than I’m used to. Wish I had seen the other reviews like this before buying.",4,critical,"Update: I’ve been so dissatisfied with this laptop. I never use the touchscreen since it doesn’t react well. It’s always been slow, and all I do is streaming & internet browsing. And for nearly $300 it should last more than 1 year. With the price of fixing it I might as well just buy something better that I know will work.I’ve been happy with previous Amazon laptop purchases, but this one surprised me with how slow it was. I always look at the specs and assumed it’d be the same as the Lenovo I bought 3 years ago for the same price. This one is plastic instead of metallic, so it feels super cheap and I’m afraid it’ll break much more easily. I wanted to return it only to find out they charge a huge restocking fee, so guess I’m stuck with it till next time. Once I did all the updates, it did help a little, so definitely do those. The touchscreen felt strange, but it works so it’s fine. I think it’s just made from a cheaper material than I’m used to. Wish I had seen the other reviews like this before buying.",0
"3.0 out of 5 stars







  
  
    Was great initially, now I dislike it!",3.0,"Reviewed in the United States on July 5, 2022","When I first received this laptop, I loved it! It is very lightweight and of course, I enjoyed utilizing the touchscreen feature. After a couple of uses, I started to notice how SLOW it is, which is not beneficial for me at all. I had no choice but to switch back to my original laptop. Also, the battery life sucks! I personally would not recommend",4,critical,"When I first received this laptop, I loved it! It is very lightweight and of course, I enjoyed utilizing the touchscreen feature. After a couple of uses, I started to notice how SLOW it is, which is not beneficial for me at all. I had no choice but to switch back to my original laptop. Also, the battery life sucks! I personally would not recommend",0
"1.0 out of 5 stars







  
  
    This is the worst hp yet. Do not waste your money.",1.0,"Reviewed in the United States on March 24, 2025","I have to really work on wires and exact positioning for it to charge. It’s so slow! I can’t watch an entire movie without it freezing up, going dark, or completely ignore my commands.",0,critical,"I have to really work on wires and exact positioning for it to charge. It’s so slow! I can’t watch an entire movie without it freezing up, going dark, or completely ignore my commands.",0
"3.0 out of 5 stars







  
  
    someone else name on log in, on my new laptop",3.0,"Reviewed in the United States on October 10, 2023","my laptop has someone else name  that comes up when i log in name"" Deborah Finch"", and I  dont know  how to get that name  of my laptop  ,  so my laptop now has my name Joseph Price, and this other person Deborah,  unde  my name .  why is this its a new laptop  ?",4,critical,"my laptop has someone else name that comes up when i log in name"" Deborah Finch"", and I dont know how to get that name of my laptop , so my laptop now has my name Joseph Price, and this other person Deborah, unde my name . why is this its a new laptop ?",0
"2.0 out of 5 stars







  
  
    Bad battery",2.0,"Reviewed in the United States on September 8, 2024",Battery stopped charging. It will only work on the charger but won't hold a charge. Less than a year from when I bought it and only been out of the box for 9 months. Never had this happen before.,0,critical,Battery stopped charging. It will only work on the charger but won't hold a charge. Less than a year from when I bought it and only been out of the box for 9 months. Never had this happen before.,0
"1.0 out of 5 stars







  
  
    worse laptop ever",1.0,"Reviewed in the United States on January 15, 2025","It always hung up, it would never run windows anything from day one. I never got around to a warranty claim. I didn't have the time so I just bought a different one. Maybe if I ever get the chance I'll try to install a light version of Linux on it. It's hardly worth my time though.",0,critical,"It always hung up, it would never run windows anything from day one. I never got around to a warranty claim. I didn't have the time so I just bought a different one. Maybe if I ever get the chance I'll try to install a light version of Linux on it. It's hardly worth my time though.",0
"3.0 out of 5 stars







  
  
    Look Out for installed apps that you have to sign into to get your email working",3.0,"Reviewed in the United States on November 23, 2021","I've been an Amazon member for over 10 years, purchasing several computers without a problem.  This time my new HP has been a big problem. out of the box it has performed very poorly, that I have had for yearsl!!  However, it seems your supplier has installed ""free"" apps that require ""sign ins"" which are very onerous, still can not get in my Yahoo email account ( I bought a new Dell a few months ago without a problem; almost threw my new HP in the pool. I suspect your Asian partners had something to do with this! Otherwise I like this computer very much and of course appreciate Amazon.",3,critical,"I've been an Amazon member for over 10 years, purchasing several computers without a problem. This time my new HP has been a big problem. out of the box it has performed very poorly, that I have had for yearsl!! However, it seems your supplier has installed ""free"" apps that require ""sign ins"" which are very onerous, still can not get in my Yahoo email account ( I bought a new Dell a few months ago without a problem; almost threw my new HP in the pool. I suspect your Asian partners had something to do with this! Otherwise I like this computer very much and of course appreciate Amazon.",0
"1.0 out of 5 stars







  
  
    Worked okay for 15-days",1.0,"Reviewed in the United States on May 17, 2022","I bought this 15-days ago.  It worked fine for the first 14-days.  I bought it just to browse the web and run a Pico Oscilloscope, it did both very well.  On the fifteen day I started the computer and Nord VPN, which starts automatically, wouldn't start.  Instead, I got ""Runtime error 5:252"".  I looked on line for a solution and found that I should reload Nord VPN, but first I chatted with Nord; they couldn't help me and suggested I remove the APP and re-install.  I did, I removed the Nord APP, but on trying to re-install I got the same Runtime Error 5:252.  Then I tried to start my Oscilloscope APP and it wouldn't start, and I got the same Runtime Error 5:252.  So I looked to see if my windows was up to date, it is.  Looking online again, it was suggested to reload Windows itself; I did.  I then tried to reload Nord and got the same Runtime Error.  So, it's likely the computer itself.  I know this is a cheap computer, but I wasn't expecting much, and it did everything I wanted it to do, except keep running for more then 14-days. I'm tired of MS computers, they're always broken, and I spend too much time fixing and reinstalling drivers and software, etc... I swore I never would, but I'm looking to buy an Apple now.",3,critical,"I bought this 15-days ago. It worked fine for the first 14-days. I bought it just to browse the web and run a Pico Oscilloscope, it did both very well. On the fifteen day I started the computer and Nord VPN, which starts automatically, wouldn't start. Instead, I got ""Runtime error 5:252"". I looked on line for a solution and found that I should reload Nord VPN, but first I chatted with Nord; they couldn't help me and suggested I remove the APP and re-install. I did, I removed the Nord APP, but on trying to re-install I got the same Runtime Error 5:252. Then I tried to start my Oscilloscope APP and it wouldn't start, and I got the same Runtime Error 5:252. So I looked to see if my windows was up to date, it is. Looking online again, it was suggested to reload Windows itself; I did. I then tried to reload Nord and got the same Runtime Error. So, it's likely the computer itself. I know this is a cheap computer, but I wasn't expecting much, and it did everything I wanted it to do, except keep running for more then 14-days. I'm tired of MS computers, they're always broken, and I spend too much time fixing and reinstalling drivers and software, etc... I swore I never would, but I'm looking to buy an Apple now.",0
"3.0 out of 5 stars







  
  
    Not bad",3.0,"Reviewed in the United States on November 19, 2022","Great looking device. I'm a writer, so I'm always on the computer. I have to charge daily, I'm not sure if it's me or if the charge just isn't working. Also,the mouse jumps. I spend a lot of time praying that I don't accidentally erase my content. Otherwise, it's a decent laptop for the money. Wish it had a disk drive.",1,critical,"Great looking device. I'm a writer, so I'm always on the computer. I have to charge daily, I'm not sure if it's me or if the charge just isn't working. Also,the mouse jumps. I spend a lot of time praying that I don't accidentally erase my content. Otherwise, it's a decent laptop for the money. Wish it had a disk drive.",0
"3.0 out of 5 stars







  
  
    only runs Microsoft products",3.0,"Reviewed in the United States on January 14, 2024",I wish they would have mentioned that,0,critical,I wish they would have mentioned that,0
"2.0 out of 5 stars







  
  
    Never could disable S Mode",2.0,"Reviewed in the United States on July 14, 2022","For those who don’t know, Windows S Mode essentially stops you from installing anything other than apps purchased directly from the Windows store. That means no Google Chrome browser, no Kapersky antivirus, etc.You are *supposed* to be able to easily disable S Mode in Windows, but HP has apparently disabled that option on this model laptop.I spent hours trying to disable it, watching every Youtube video, reading every Microsoft help document, etc. I did system recovery. I tried everything I could think of, to no avail.This was supposed to be a gift for my girlfriend, so she could work remotely. But since I couldn’t disable S Mode, there’s no way for her office to install their software clients on it. So it became pointless.Avoid this mode unless you want a crippled computer.",2,critical,"For those who don’t know, Windows S Mode essentially stops you from installing anything other than apps purchased directly from the Windows store. That means no Google Chrome browser, no Kapersky antivirus, etc.You are *supposed* to be able to easily disable S Mode in Windows, but HP has apparently disabled that option on this model laptop.I spent hours trying to disable it, watching every Youtube video, reading every Microsoft help document, etc. I did system recovery. I tried everything I could think of, to no avail.This was supposed to be a gift for my girlfriend, so she could work remotely. But since I couldn’t disable S Mode, there’s no way for her office to install their software clients on it. So it became pointless.Avoid this mode unless you want a crippled computer.",0
"3.0 out of 5 stars







  
  
    Forever to start. $70 cheaper at Walmart",3.0,"Reviewed in the United States on October 12, 2021","It's nice enough. Touch screen works well. WAY CHEAPER AT WALMART. I was an idiot and purchased it on Amazon before looking around for it. $218 at Walmart $289 from this seller in Amazon. Also it takes forever to start up. Between 3 and 4 minutes. To me that seems like forever. I wouldn't say I am happy I picked this laptop, but at the same time, I'm not losing sleep over my purchase either, except maybe paying to much for it.",13,critical,"It's nice enough. Touch screen works well. WAY CHEAPER AT WALMART. I was an idiot and purchased it on Amazon before looking around for it. $218 at Walmart $289 from this seller in Amazon. Also it takes forever to start up. Between 3 and 4 minutes. To me that seems like forever. I wouldn't say I am happy I picked this laptop, but at the same time, I'm not losing sleep over my purchase either, except maybe paying to much for it.",0
"3.0 out of 5 stars







  
  
    Windows 11?",3.0,"Reviewed in the United States on February 2, 2022",Came with windows 11 s. Not what is advertised as 10 s. This was an emergency replacement so the unexpected learning curve was not desired.There is also 3.3 stars for a touch screen even though it doesn't have one. May be another clue as to what it used to be.it is getting the job done and is buying time for a more appropriate purchase.,3,critical,Came with windows 11 s. Not what is advertised as 10 s. This was an emergency replacement so the unexpected learning curve was not desired.There is also 3.3 stars for a touch screen even though it doesn't have one. May be another clue as to what it used to be.it is getting the job done and is buying time for a more appropriate purchase.,0
"3.0 out of 5 stars







  
  
    NO touch screen. Battery life has not been great but reset somethings...",3.0,"Reviewed in the United States on September 10, 2023",weird somethings say has touch screen & some say does not????,1,critical,weird somethings say has touch screen & some say does not????,0
"1.0 out of 5 stars







  
  
    Defective Wifi, HORRIBLE customer service, Can't AMAZON Return,",1.0,"Reviewed in the United States on November 5, 2021","Wifi starts stalling every 3 hours or so, have to restart computer each time to fix it. Normally Amazon can just return it, but not for this!!! Amazon gave me their customer service email and it was not a working one, I try to contact their customer service on their website and the customer service page isn't working. So I go to Amazon customer service for returns. I've been shopping on Amazon since 2001 (yes it's been at least 20 years) and I have NEVER had such trouble returning this even when the Amazon says that defective laptops can be returned, they ask for an email proof from HP saying that won't take the return, but HP cannot email me, so I gave Amazon an audio recording of the HP rep saying they can't take my return since I bought it on Amazon and not directly through them. Buying this laptop on Amazon has wasted at least 3 hours of my limited mortal life.  WORST laptop AND Amazon customer service experience ever!  Don't make my mistake, stay away.",5,critical,"Wifi starts stalling every 3 hours or so, have to restart computer each time to fix it. Normally Amazon can just return it, but not for this!!! Amazon gave me their customer service email and it was not a working one, I try to contact their customer service on their website and the customer service page isn't working. So I go to Amazon customer service for returns. I've been shopping on Amazon since 2001 (yes it's been at least 20 years) and I have NEVER had such trouble returning this even when the Amazon says that defective laptops can be returned, they ask for an email proof from HP saying that won't take the return, but HP cannot email me, so I gave Amazon an audio recording of the HP rep saying they can't take my return since I bought it on Amazon and not directly through them. Buying this laptop on Amazon has wasted at least 3 hours of my limited mortal life. WORST laptop AND Amazon customer service experience ever! Don't make my mistake, stay away.",0
"3.0 out of 5 stars







  
    Problema con bocina de laptop",3.0,"Reviewed in the United States on July 25, 2021","The media could not be loaded.
                
            
                
            
        
    
    








  
    Descubrí que el audio se distorsiona, como si fuera problema de la bocina, al reproducir cualquier tipo de audio se escucha muy mal. No había utilizado mucho la pc por ello no me había percatado, ya hice pruebas con diferentes vídeos y audios y conexiones.",1,critical,"The media could not be loaded. Descubrí que el audio se distorsiona, como si fuera problema de la bocina, al reproducir cualquier tipo de audio se escucha muy mal. No había utilizado mucho la pc por ello no me había percatado, ya hice pruebas con diferentes vídeos y audios y conexiones.",0
"3.0 out of 5 stars







  
  
    Slow",3.0,"Reviewed in the United States on March 3, 2023",Home use only.  Do not recommendVery slow.  No cd slot,2,critical,Home use only. Do not recommendVery slow. No cd slot,0
"2.0 out of 5 stars







  
  
    Know What You are Purchasing... You get what you pay for!",2.0,"Reviewed in the United States on April 24, 2022","First, the computer will work for my application.  I bought it to run the driver on a CNC Plasma table (Langmuir Crossfire).  As a computer for anything else, it is almost worthless.  The track pad for click and drag is unusable - sporadic and hard pressure is required to drag.  The computer is abysmally slow, both loading and running programs.  There is an appreciable hesitation when clicking on anything.  Even cruising the web is frustratingly difficult due to the hesitations and track pad.  The touch screen works fine though.",0,critical,"First, the computer will work for my application. I bought it to run the driver on a CNC Plasma table (Langmuir Crossfire). As a computer for anything else, it is almost worthless. The track pad for click and drag is unusable - sporadic and hard pressure is required to drag. The computer is abysmally slow, both loading and running programs. There is an appreciable hesitation when clicking on anything. Even cruising the web is frustratingly difficult due to the hesitations and track pad. The touch screen works fine though.",0
"2.0 out of 5 stars







  
  
    Slower than molasses",2.0,"Reviewed in the United States on January 15, 2024",Worst laptop I’ve ever owned. Back to a dell I go. This is painfully slow. Another reviewer said 1998 slow and I felt that in my impatiently tapping fingers. It’s awful. Battery life stinks. Not worth the hassle.,0,critical,Worst laptop I’ve ever owned. Back to a dell I go. This is painfully slow. Another reviewer said 1998 slow and I felt that in my impatiently tapping fingers. It’s awful. Battery life stinks. Not worth the hassle.,0
"3.0 out of 5 stars







  
    Espere algo mejor",3.0,"Reviewed in the United States on August 12, 2022",No tienen descargado nada solo la uso para trabajar en Excel y ya se queda pegada en todo,2,critical,No tienen descargado nada solo la uso para trabajar en Excel y ya se queda pegada en todo,0
"3.0 out of 5 stars







  
  
    misinformation",3.0,"Reviewed in the United States on March 28, 2021","Office and dropbox is not free for a year. It is 14 days. why would you tell us that? Really pisses me off. I would have looked further if I knew this, it is one of the reasons I bought this computer.",0,critical,"Office and dropbox is not free for a year. It is 14 days. why would you tell us that? Really pisses me off. I would have looked further if I knew this, it is one of the reasons I bought this computer.",0
"1.0 out of 5 stars







  
  
    Pretty trash",1.0,"Reviewed in the United States on December 14, 2023",This is the worst laptop I have ever used. Got it September and it still willl not charge to a full battery. It takes forever toCome on and when it does there’s a message telling you the port is lost . Google never pops up. I need a refund. Just sad . But now my return window closed. I haven’t tried to use the damn thing but four times and it’s the same thing everytime. I think  they got me good for $240 .,0,critical,This is the worst laptop I have ever used. Got it September and it still willl not charge to a full battery. It takes forever toCome on and when it does there’s a message telling you the port is lost . Google never pops up. I need a refund. Just sad . But now my return window closed. I haven’t tried to use the damn thing but four times and it’s the same thing everytime. I think they got me good for $240 .,0
"2.0 out of 5 stars







  
    No funciona",2.0,"Reviewed in the United States on October 1, 2023","No funciono correctamente, no dejaba guardar los trabajos en mi memoria externa. Demasiado lenta para poder hacer trabajos de la universidad.",0,critical,"No funciono correctamente, no dejaba guardar los trabajos en mi memoria externa. Demasiado lenta para poder hacer trabajos de la universidad.",0
"3.0 out of 5 stars







  
  
    not  what i  expected",3.0,"Reviewed in the United States on March 3, 2022",kind of of  flimsy  not  of usb  ports sending back  awful,0,critical,kind of of flimsy not of usb ports sending back awful,0
"1.0 out of 5 stars







  
  
    You get what you pay for!!",1.0,"Reviewed in the United States on February 25, 2024","After having this for a month, it’s terrible! It’s NOT my internet. I’ve had our cable company out and they said it’s just this version of a cheap computer! Total waste of money!! It lags and nothing works on it and I can’t get any work done!!",0,critical,"After having this for a month, it’s terrible! It’s NOT my internet. I’ve had our cable company out and they said it’s just this version of a cheap computer! Total waste of money!! It lags and nothing works on it and I can’t get any work done!!",0
"1.0 out of 5 stars







  
  
    It’s 1998 Internet SLOW",1.0,"Reviewed in the United States on September 29, 2023","The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
    For someone like me, who needs to run multiple websites and applications at any given time, for a device to come and estimate, which limits it from the very beginning is a problem. Also, the touchscreen is practically non-responsive, and, computer is just very very slow. I don’t have time to wait 30 minutes for the computer to warm up every time I need it.",2,critical,"The media could not be loaded. For someone like me, who needs to run multiple websites and applications at any given time, for a device to come and estimate, which limits it from the very beginning is a problem. Also, the touchscreen is practically non-responsive, and, computer is just very very slow. I don’t have time to wait 30 minutes for the computer to warm up every time I need it.",0
